Komita,Latitude,Longitude
Darbandikhan,35.112292,45.684484
Qaradagh,35.306935,45.389159
Tanjaro (Arbat),35.428997,45.581033
Ibrahim Ahmad,35.531034,45.46355
Khabat,35.540818,45.440663
Chwar Chra + Chwarbakh,35.542408,45.399579
Bakrajo,35.552838,45.353471
Sheikh Muhyiddin + Ashti,35.557662,45.417678
Azadi,35.56475,45.461499
Zargata + Bakhtiari,35.572297,45.411048
Raparin,35.57704,45.333913
Kariza Wshk,35.577391,45.427523
Tuwe Malik + Hawari Taza,35.577957,45.445124
Kurdsat,35.587228,45.429688
Sarchnar,35.594936,45.398338
Bazyan,35.600973,45.136097
Chwarta,35.71848,45.574618
Piramagrun,35.732711,45.148456
Jafayati (Gapilon),35.799253,45.35277
Mawat,35.902827,45.413522
Dukan,35.928916,44.96238
Aqari,,
Awbara,,
Basne,,
Hawari shar,,
Hwana,,
Kani askan,,
Kani spika,,
Kaziwa,,
Qliasan,,
Rzgari,,
Sitak,,
Slemani center (naw bazar),,
Taslwja,,
Zallan,,
Harawazi (Shakraka + Grdi sarchnar),,
Sarwari,,
